Date,ChangePoint,MeanBefore,MeanAfter,StdDev,ChangeMagnitude
1987-08-04,True,0.0022570281106663,-0.0012345369613504,0.0176519561473664,-0.0034915650720166998
1987-08-25,True,-0.0120720850760504,-0.0005945242774114,0.0186534263103516,0.011477560798639
1988-03-03,True,-0.0017773592335656,0.0007056166248076,0.0187804966242748,0.0024829758583732
1988-08-23,True,-0.0006689251739832,-0.0091917007957448,0.0182420297522149,-0.0085227756217616
1988-10-06,True,-0.001441528063208,0.0022734065766216,0.0196862906578812,0.0037149346398295995
1989-04-21,True,0.0050104250387678,0.0002131234485225,0.0209980328566283,-0.0047973015902453
1990-01-08,True,0.0003219602554015,-0.0033938632668302,0.0197615421351183,-0.0037158235222316998
1990-07-10,True,-0.0002725715081555,0.0175477914395212,0.0222692903237723,0.0178203629476767
1990-09-28,True,0.0009320684113843,-0.000374508376996,0.0221807422921899,-0.0013065767883803001
1991-02-19,True,-0.008520538243718,0.000110663145739,0.0221253607196712,0.008631201389457
1991-10-21,True,0.0015294195274398,-0.0002157726983509,0.0162266164764479,-0.0017451922257907
1992-01-22,True,-0.0038998570415923,-1.0054496417933166e-06,0.015887053896862,0.0038988515919505065
1992-06-08,True,0.0018650857442602,-0.0001768099193322,0.015623835651794,-0.0020418956635924
1993-01-21,True,-0.0015352688765745,7.444978989653818e-05,0.0108005649683658,0.0016097186664710383
1993-08-18,True,-0.0007727705608777,-0.0047507007567302,0.010868602607004,-0.0039779301958525
1993-09-16,True,-0.0010183218075352,0.0036543851974848,0.0110953586137589,0.00467270700502
1993-10-22,True,-0.0006712064300194,-0.0053453149117682,0.0125533987180657,-0.0046741084817488
1993-12-30,True,-0.0012245643611081,0.0004919336713188,0.0157074711136574,0.0017164980324269
1994-08-02,True,0.002507547249955,-0.0004199348279196,0.0157842361045067,-0.0029274820778746
1994-08-26,True,-0.0105097953353564,8.316070984725079e-05,0.0142293031530944,0.01059295604520365
1995-05-02,True,0.0012128727555027,-0.0016740300527024,0.0137708361835261,-0.0028869028082051
1995-10-23,True,1.0817661301292733e-05,0.0036762241222807,0.0133418509800813,0.0036654064609794074
1995-12-29,True,0.0005175062014955,-0.0069490996311246,0.0137245842989499,-0.0074666058326201
1996-01-30,True,0.0004022043514455,0.007588570145313,0.0163709078653203,0.0071863657938675
1996-04-12,True,0.0010362954509044,-0.0066590006150549,0.0173916517676906,-0.0076952960659593
1996-06-17,True,6.248797829549914e-06,0.0025825538016442,0.0166187289298997,0.00257630500381465
1996-12-09,True,0.0002226863455755,-0.0041807472638946,0.0167048806580042,-0.0044034336094701
1997-04-18,True,-2.5077182323069776e-05,0.0019567316073841,0.0167801912283437,0.0019818087897071697
1997-10-06,True,5.061217075915468e-05,-0.0028332102179419,0.0227642706491359,-0.0028838223887010547
1998-03-18,True,-0.0058036022207223,0.0021036551959528,0.0270608491665394,0.0079072574166751
1998-10-01,True,-0.0014847788927391,-0.0094167278645204,0.0272264149326927,-0.007931948971781299
1998-12-11,True,-0.0002439559996903,0.000645387369798,0.0227825629704389,0.0008893433694883
1999-01-12,True,0.0148657169256124,0.0033661694519628,0.0250431886827241,-0.011499547473649601
1999-02-10,True,-0.0100669794787975,0.0044187669428059,0.0230468178223272,0.0144857464216034
1999-04-01,True,0.0122876051508942,0.0032367526197025,0.0221702430945656,-0.0090508525311917
2000-01-11,True,0.002166985592394,0.0082463933329522,0.0219371196808505,0.0060794077405582
2000-03-08,True,0.0040755571207918,0.000353941222679,0.0227887957262493,-0.0037216158981127996
2000-04-11,True,-0.017300886793897,0.0008921548706267,0.0262954144460997,0.0181930416645237
2000-05-17,True,0.0135372164254808,4.42352911467389e-05,0.0256459889792424,-0.01349298113433406
2000-09-08,True,0.0032443434624335,-0.0017693031785503,0.0259555809527635,-0.0050136466409838
2000-10-02,True,-0.0172112124529614,-0.0006808866658165,0.0259459844496342,0.0165303257871449
2000-10-17,True,0.0108708946320102,-0.0012691718245021,0.0243627244064002,-0.0121400664565123
2000-12-27,True,-0.0074536782784686,0.0005454438416316,0.0237935475401379,0.0079991221201002
2001-08-21,True,-0.0005158915183043,0.0095958714102081,0.0257661440128156,0.0101117629285124
2001-09-17,True,-0.0002274169241131,-0.0129747079179662,0.0291723496809282,-0.0127472909938531
2001-11-16,True,-0.0015197690064392,0.0006087799063009,0.0225628577720698,0.0021285489127400997
2002-04-03,True,0.0051658829391537,0.0010473676547257,0.0211234903417118,-0.004118515284428
2002-11-15,True,-0.001050866620866,0.0053923412692655,0.0194458414932597,0.0064432078901315
2003-03-11,True,0.0010878452418246,-0.0113385488312109,0.0217529461650408,-0.012426394073035502
2003-04-30,True,-0.0005448196728807,0.0014339929988193,0.0211638197443341,0.0019788126717000002
2003-07-01,True,0.0049478356191433,0.0012414536771577,0.0209468643712529,-0.0037063819419856005
2003-09-22,True,-0.0021030302012017,0.0015066748449308,0.0210471828581692,0.0036097050461325
2003-10-13,True,0.0132734301533197,0.001941729978661,0.0216516054730138,-0.0113317001746587
2003-10-31,True,-0.0089341060247381,0.0025435548958452,0.0216926310270993,0.0114776609205833
2004-06-30,True,0.0010089675864355,0.0087424691742939,0.021756834276929,0.007733501587858399
2004-08-23,True,0.0024218188380635,-0.0058471709075809,0.0219900365256766,-0.0082689897456444
2004-09-17,True,0.0017297007536263,0.0096491275990639,0.0218613069885091,0.007919426845437599
2004-10-25,True,0.0025444799879514,0.0008732093680221,0.0211590729998763,-0.0016712706199293
2004-12-09,True,-0.0105576465972587,0.001752505980736,0.0208273189989813,0.012310152577994699
2005-03-18,True,0.0059667958647244,0.0009307781482035,0.0202585005174698,-0.0050360177165209
2005-05-17,True,-0.0045891917251439,0.0016424723771571,0.0193479922507368,0.006231664102301
2005-08-15,True,0.0057943016479036,0.0005963421672052,0.0187653140639723,-0.0051979594806984
2005-11-21,True,-0.0034471032379714,0.0021346094409138,0.0187960830632418,0.0055817126788852
2006-08-10,True,0.0009503224617579,-0.0041193955200706,0.0211861490714286,-0.0050697179818285
2007-01-16,True,0.0005010547706853,0.0028684106015274,0.0205008365756918,0.0023673558308421
2007-04-03,True,0.0059669269628547,0.0016324431311731,0.0174237157789181,-0.0043344838316815995
2007-05-08,True,-0.0041250049326019,0.0021664000080555,0.0172332552201895,0.0062914049406574
2007-05-25,True,0.010596073957189,0.00170007761938,0.0173238956211191,-0.008895996337809
2007-08-23,True,-0.0009771160621858,0.0026595343145077,0.0175675272897383,0.0036366503766935
2008-05-02,True,0.0023526342908987,0.006678121986853,0.017909342154855,0.0043254876959543005
2008-07-07,True,0.0012783351588702,-0.0001488864917299,0.0214949583684655,-0.0014272216506001
2008-12-29,True,-0.0118940849834805,0.0008932329380835,0.0218830213748012,0.012787317921564
2009-06-12,True,0.0066161627966747,0.0003758546637937,0.0193813998858166,-0.0062403081328810004
2009-07-16,True,-0.0068550590638976,0.0016513945403317,0.0193078035885746,0.0085064536042293
2009-08-14,True,0.0088501299915953,0.0012897355822538,0.0188400834452284,-0.007560394409341501
